Year,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2012,F,,,ISCED11_3,9
2013,F,,,ISCED11_3,7
2014,F,,,ISCED11_3,8
2015,F,,,ISCED11_3,11
2016,F,,,ISCED11_3,7
2017,F,,,ISCED11_3,7
2018,F,,,ISCED11_3,7
2019,F,,,ISCED11_3,12
2020,F,,,ISCED11_3,7
2005,F,,Q1,ISCED11_1,74
2010,F,,Q1,ISCED11_1,78
2014,F,,Q1,ISCED11_1,82
2015,F,,Q1,ISCED11_1,76
2019,F,,Q1,ISCED11_1,81
2005,F,,Q1,ISCED11_2,23
2010,F,,Q1,ISCED11_2,35
2014,F,,Q1,ISCED11_2,50
2015,F,,Q1,ISCED11_2,39
2019,F,,Q1,ISCED11_2,18
2005,F,,Q1,ISCED11_3,0
2010,F,,Q1,ISCED11_3,1
2014,F,,Q1,ISCED11_3,0
2015,F,,Q1,ISCED11_3,0
2019,F,,Q1,ISCED11_3,0
2005,F,,Q2,ISCED11_1,81
2010,F,,Q2,ISCED11_1,87
2014,F,,Q2,ISCED11_1,89
2015,F,,Q2,ISCED11_1,82
2019,F,,Q2,ISCED11_1,91
2005,F,,Q2,ISCED11_2,38
2010,F,,Q2,ISCED11_2,61
2014,F,,Q2,ISCED11_2,64
2015,F,,Q2,ISCED11_2,56
2019,F,,Q2,ISCED11_2,39
2005,F,,Q2,ISCED11_3,0
2010,F,,Q2,ISCED11_3,1
2014,F,,Q2,ISCED11_3,0
2015,F,,Q2,ISCED11_3,0
2019,F,,Q2,ISCED11_3,0
2005,F,,Q3,ISCED11_1,90
2010,F,,Q3,ISCED11_1,89
2014,F,,Q3,ISCED11_1,93
2015,F,,Q3,ISCED11_1,93
2019,F,,Q3,ISCED11_1,90
2005,F,,Q3,ISCED11_2,61
2010,F,,Q3,ISCED11_2,66
2014,F,,Q3,ISCED11_2,74
2015,F,,Q3,ISCED11_2,74
2019,F,,Q3,ISCED11_2,44
2005,F,,Q3,ISCED11_3,0
2010,F,,Q3,ISCED11_3,3
2014,F,,Q3,ISCED11_3,1
2015,F,,Q3,ISCED11_3,1
