Year,SERIES,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,Value
1993,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,22.77273
1994,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,9.38993
1995,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,0.48713
1996,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,8.13796
1997,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,5.51772
1998,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-0.67899
1999,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-3.66284
2000,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-7.73231
2001,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,3.27621
2002,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-16.96482
2003,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-20.43725
2004,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-2.05636
2005,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-7.34173
2006,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-8.94245
2007,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-9.78636
2008,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-21.08434
2009,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-3.82415
2010,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,45.77855
2011,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,5.10466
2012,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-3.27435
2013,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-11.87653
2014,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,3.87918
2015,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,48.41123
2016,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,21.00079
2017,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,4.80668
2018,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-2.91287
2019,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,12.27511
2020,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-39.79683
2021,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,41.12701
2010,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,61.11448
2011,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,2.8428
2012,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,-17.36393
2013,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,-5.47126
2014,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,12.73016
2015,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,5.65384
2016,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,0.63614
2017,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,4.29431
2018,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,11.55309
2019,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,-5.19876
2020,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,-4.0645
2021,NE_GDI_TOTL_KD_ZG,,PT,2023-03-12,-3.75643
1977,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,0.55619
1978,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-0.22125
1979,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-4.54556
1980,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,12.28002
1981,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,12.52543
1982,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,2.6343
1983,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,1.58531
1984,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-1.90735
1985,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,6.94334
1986,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,15.15427
1987,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-3.73134
1988,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,13.24465
1989,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,9.58039
1990,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,2.14741
1991,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,20.13453
1992,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,3.49669
1993,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-9.76698
1994,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,13.53384
1995,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,6.17027
1996,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,11.78902
1997,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,23.28062
1998,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-10.00118
1999,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-23.98147
2000,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-2.81998
2001,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-1.48577
2002,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-1.3751
2003,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-18.35576
2004,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-7.24641
2005,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-9.08228
2006,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-6.6806
2007,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-12.66698
2008,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,11.64786
2009,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,52.06704
2010,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,21.11659
2011,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-8.50002
2012,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,19.9054
2013,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-24.52839
2014,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,0.41654
2015,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,80.60597
2016,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-3.27622
2017,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,3.24791
2018,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-12.39718
2019,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-2.09713
2020,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,-28.96734
2021,NE_IMP_GNFS_KD_ZG,,PT,2023-03-12,54.79335
1961,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,6.31616
1962,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.43447
1963,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,6.24434
1964,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-1.10617
1965,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,4.91057
1966,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.52313
1967,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,8.36701
1968,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.97013
1969,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,12.42824
1970,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,22.56515
1971,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,8.91759
1972,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,8.32977
1973,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,2.60471
1974,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,6.62515
1975,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-1.93122
1976,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,0.46484
1977,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-6.8607
1978,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-2.70692
