Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2002,3.8,NUMBER,SN_ITK_DEFCN,2023-09-08
2003,3.8,NUMBER,SN_ITK_DEFCN,2023-09-08
2004,3.8,NUMBER,SN_ITK_DEFCN,2023-09-08
2005,3.7,NUMBER,SN_ITK_DEFCN,2023-09-08
2006,3.6,NUMBER,SN_ITK_DEFCN,2023-09-08
2007,3.6,NUMBER,SN_ITK_DEFCN,2023-09-08
2008,3.6,NUMBER,SN_ITK_DEFCN,2023-09-08
2009,3.5,NUMBER,SN_ITK_DEFCN,2023-09-08
2010,3.4,NUMBER,SN_ITK_DEFCN,2023-09-08
2011,3.3,NUMBER,SN_ITK_DEFCN,2023-09-08
2012,3.3,NUMBER,SN_ITK_DEFCN,2023-09-08
2013,3.7,NUMBER,SN_ITK_DEFCN,2023-09-08
2014,4.2,NUMBER,SN_ITK_DEFCN,2023-09-08
2015,4.6,NUMBER,SN_ITK_DEFCN,2023-09-08
2016,5.1,NUMBER,SN_ITK_DEFCN,2023-09-08
2017,5.4,NUMBER,SN_ITK_DEFCN,2023-09-08
2018,5.8,NUMBER,SN_ITK_DEFCN,2023-09-08
2019,6.0,NUMBER,SN_ITK_DEFCN,2023-09-08
2020,6.1,NUMBER,SN_ITK_DEFCN,2023-09-08
2021,6.1,NUMBER,SN_ITK_DEFCN,2023-09-08
2022,,NUMBER,SN_ITK_DEFCN,2023-09-08
2019,702363.0,NUMBER,VC_DSR_AFFCT,2023-08-02
2011,0.0,NUMBER,VC_DSR_CDAN,2023-03-30
2011,0.0,NUMBER,VC_DSR_CDYN,2023-03-30
2019,4574.28154,PER_100000_POP,VC_DSR_DAFF,2023-03-29
2011,0.0,NUMBER,VC_DSR_EFDN,2023-03-30
2011,0.0,NUMBER,VC_DSR_HFDN,2023-03-30
2017,0.0,NUMBER,VC_DSR_MISS,2023-03-29
2019,344.0,NUMBER,VC_DSR_MISS,2023-03-29
2017,0.0,NUMBER,VC_DSR_MMHN,2023-03-29
2019,344.0,NUMBER,VC_DSR_MMHN,2023-03-29
2017,0.0,NUMBER,VC_DSR_MORT,2023-03-29
2017,0.0,PER_100000_POP,VC_DSR_MTMP,2023-03-29
2019,2.24037,PER_100000_POP,VC_DSR_MTMP,2023-03-29
2019,234121.0,NUMBER,VC_DSR_PDAN,2023-08-02
2019,234121.0,NUMBER,VC_DSR_PDLN,2023-03-29
2019,234121.0,NUMBER,VC_DSR_PDYN,2023-08-02
2001,12.84,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2002,13.54,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2003,11.26,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2004,11.15,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2005,11.04,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2006,8.69,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2010,5.54,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2012,7.4,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2018,4.88,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2019,5.15,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2020,4.98,PER_100000_POP,VC_IHR_PSRC,2023-05-01
2021,6.14,PER_100000_POP,VC_IHR_PSRC,2023-05-01
1990,587.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2001,1529.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2002,1623.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2003,1360.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2004,1356.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2005,1350.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2006,1072.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2010,711.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2012,981.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2018,734.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2019,790.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2020,780.0,NUMBER,VC_IHR_PSRCN,2023-03-27
2021,982.0,NUMBER,VC_IHR_PSRCN,2023-03-27
