Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2010,61.11448,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2011,2.8428,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2012,-17.36393,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2013,-5.47126,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2014,12.73016,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2015,5.65384,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2016,0.63614,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2017,4.29431,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2018,11.55309,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2019,-5.19876,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2020,-4.0645,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
2021,-3.75643,PT,NE_GDI_TOTL_KD_ZG,2023-03-12
1977,0.55619,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1978,-0.22125,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1979,-4.54556,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1980,12.28002,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1981,12.52543,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1982,2.6343,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1983,1.58531,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1984,-1.90735,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1985,6.94334,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1986,15.15427,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1987,-3.73134,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1988,13.24465,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1989,9.58039,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1990,2.14741,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1991,20.13453,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1992,3.49669,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1993,-9.76698,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1994,13.53384,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1995,6.17027,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1996,11.78902,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1997,23.28062,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1998,-10.00118,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1999,-23.98147,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2000,-2.81998,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2001,-1.48577,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2002,-1.3751,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2003,-18.35576,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2004,-7.24641,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2005,-9.08228,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2006,-6.6806,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2007,-12.66698,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2008,11.64786,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2009,52.06704,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2010,21.11659,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2011,-8.50002,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2012,19.9054,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2013,-24.52839,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2014,0.41654,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2015,80.60597,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2016,-3.27622,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2017,3.24791,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2018,-12.39718,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2019,-2.09713,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2020,-28.96734,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
2021,54.79335,PT,NE_IMP_GNFS_KD_ZG,2023-03-12
1961,6.31616,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1962,1.43447,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1963,6.24434,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1964,-1.10617,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1965,4.91057,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1966,1.52313,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1967,8.36701,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1968,1.97013,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1969,12.42824,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1970,22.56515,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1971,8.91759,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1972,8.32977,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1973,2.60471,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1974,6.62515,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1975,-1.93122,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1976,0.46484,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1977,-6.8607,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1978,-2.70692,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1979,3.29704,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1980,14.42068,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1981,12.52542,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1982,2.6343,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1983,1.58531,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1984,-1.90736,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1985,6.94439,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1986,2.09903,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1987,1.15074,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1988,7.55237,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1989,5.19977,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1990,6.98855,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1991,5.53178,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1992,-9.01557,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1993,1.05146,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1994,9.2352,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1995,0.15803,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1996,10.3607,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1997,2.68059,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1998,2.88521,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
1999,-0.81782,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2000,-3.05919,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2001,1.43962,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2002,-8.89402,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2003,-16.99507,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2004,-5.80754,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2005,-5.71108,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2006,-3.4615,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2007,-3.65333,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2008,-17.66895,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2009,12.01956,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2010,21.45206,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2011,14.62021,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2012,15.74488,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2013,3.19673,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2014,1.48454,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2015,2.02365,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2016,0.90096,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2017,4.08026,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2018,5.00987,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2019,-6.33245,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2020,-7.81695,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2021,8.46802,PT,NY_GDP_MKTP_KD_ZG,2023-03-12
2000,-9.09,PT,NY_GDP_PCAP,2023-05-01
2001,-0.83,PT,NY_GDP_PCAP,2023-05-01
2002,-6.52,PT,NY_GDP_PCAP,2023-05-01
2003,-8.16,PT,NY_GDP_PCAP,2023-05-01
2004,-4.32,PT,NY_GDP_PCAP,2023-05-01
2005,-4.56,PT,NY_GDP_PCAP,2023-05-01
2006,-4.45,PT,NY_GDP_PCAP,2023-05-01
2007,-4.2,PT,NY_GDP_PCAP,2023-05-01
2008,-5.5,PT,NY_GDP_PCAP,2023-05-01
2009,57.9,PT,NY_GDP_PCAP,2023-05-01
2010,18.18,PT,NY_GDP_PCAP,2023-05-01
2011,12.56,PT,NY_GDP_PCAP,2023-05-01
2012,14.56,PT,NY_GDP_PCAP,2023-05-01
2013,-0.19,PT,NY_GDP_PCAP,2023-05-01
2014,0.16,PT,NY_GDP_PCAP,2023-05-01
2015,-0.37,PT,NY_GDP_PCAP,2023-05-01
2016,-1.32,PT,NY_GDP_PCAP,2023-05-01
2017,2.59,PT,NY_GDP_PCAP,2023-05-01
2018,2.61,PT,NY_GDP_PCAP,2023-05-01
2019,-7.95,PT,NY_GDP_PCAP,2023-05-01
2020,-7.2,PT,NY_GDP_PCAP,2023-05-01
2021,4.15,PT,NY_GDP_PCAP,2023-05-01
2000,-4.89,PT,SL_EMP_PCAP,2023-03-20
2001,0.15,PT,SL_EMP_PCAP,2023-03-20
2002,-9.75,PT,SL_EMP_PCAP,2023-03-20
2003,-17.77,PT,SL_EMP_PCAP,2023-03-20
2004,-6.51,PT,SL_EMP_PCAP,2023-03-20
2005,-5.64,PT,SL_EMP_PCAP,2023-03-20
2006,-3.8,PT,SL_EMP_PCAP,2023-03-20
2007,-4.18,PT,SL_EMP_PCAP,2023-03-20
2008,-17.86,PT,SL_EMP_PCAP,2023-03-20
2009,11.26,PT,SL_EMP_PCAP,2023-03-20
2010,18.74,PT,SL_EMP_PCAP,2023-03-20
2011,13.11,PT,SL_EMP_PCAP,2023-03-20
2012,14.3,PT,SL_EMP_PCAP,2023-03-20
2013,-0.6,PT,SL_EMP_PCAP,2023-03-20
2014,-0.52,PT,SL_EMP_PCAP,2023-03-20
2015,-0.42,PT,SL_EMP_PCAP,2023-03-20
2016,-1.45,PT,SL_EMP_PCAP,2023-03-20
2017,2.5,PT,SL_EMP_PCAP,2023-03-20
2018,2.75,PT,SL_EMP_PCAP,2023-03-20
2019,-7.83,PT,SL_EMP_PCAP,2023-03-20
2020,-6.13,PT,SL_EMP_PCAP,2023-03-20
2021,4.03,PT,SL_EMP_PCAP,2023-03-20
2022,-0.35,PT,SL_EMP_PCAP,2023-03-20
